
# QPROP Version 1.22
# 
# APC 5x4E X-Prop                                                                 
# 
# T-motor F40                                                                     
#   0.82000E-01  Rmotor (Ohms)                  
#   0.70000      Io     (Amps)                  
#    1600.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    3.000  0.2950E+05  0.000   19.99      0.2224       687.0      21.550   37.9593   0.8398   0.0873   0.01529  0.6696E-01  0.1173E-01  47.8499   0.0733   818.0       59.98       1.0514  0.2167E-01
    5.000  0.2950E+05  0.000   19.46      0.2209       682.4      21.530   37.7134   0.8405   0.1426   0.02549  0.6519E-01  0.1165E-01  45.3338   0.1199   812.0       97.32       1.0198  0.2055E-01
    7.000  0.2950E+05  0.000   18.90      0.2189       676.3      21.503   37.3824   0.8414   0.1956   0.03568  0.6329E-01  0.1155E-01  42.8433   0.1646   803.8       132.3       0.9860  0.1963E-01
    9.000  0.2950E+05  0.000   18.29      0.2163       668.2      21.467   36.9417   0.8426   0.2463   0.04588  0.6125E-01  0.1141E-01  40.3772   0.2076   793.0       164.6       0.9501  0.1875E-01
   11.000  0.2950E+05  0.000   17.64      0.2131       658.3      21.422   36.4024   0.8441   0.2948   0.05607  0.5908E-01  0.1124E-01  37.9327   0.2488   779.8       194.0       0.9119  0.1814E-01
   13.000  0.2950E+05  0.000   16.96      0.2094       646.9      21.372   35.7855   0.8458   0.3408   0.06627  0.5679E-01  0.1104E-01  35.5230   0.2882   764.8       220.4       0.8722  0.1789E-01
   15.000  0.2950E+05  0.000   16.25      0.2053       634.1      21.315   35.0935   0.8477   0.3845   0.07647  0.5444E-01  0.1083E-01  33.1663   0.3260   748.0       243.8       0.8318  0.1766E-01
   17.000  0.2950E+05  0.000   15.53      0.2007       619.9      21.252   34.3218   0.8499   0.4260   0.08666  0.5202E-01  0.1058E-01  30.8633   0.3620   729.4       264.1       0.7906  0.1745E-01
   19.000  0.2950E+05  0.000   14.79      0.1956       604.1      21.182   33.4657   0.8522   0.4652   0.09686  0.4953E-01  0.1031E-01  28.6147   0.3964   708.9       281.0       0.7486  0.1728E-01
   21.000  0.2950E+05  0.000   14.03      0.1899       586.7      21.104   32.5205   0.8548   0.5021   0.10705  0.4698E-01  0.1002E-01  26.4208   0.4292   686.3       294.5       0.7060  0.1714E-01

    1.000  0.3000E+05  0.000   21.22      0.2315       727.4      21.988   39.4932   0.8376   0.0292   0.00501  0.6871E-01  0.1181E-01  51.3002   0.0244   868.4       21.22       1.0828  0.2317E-01
    3.000  0.3000E+05  0.000   20.73      0.2306       724.5      21.976   39.3389   0.8380   0.0858   0.01504  0.6712E-01  0.1176E-01  48.7709   0.0719   864.5       62.18       1.0542  0.2178E-01
    5.000  0.3000E+05  0.000   20.19      0.2290       719.3      21.953   39.0623   0.8388   0.1403   0.02506  0.6539E-01  0.1168E-01  46.2565   0.1177   857.5       101.0       1.0231  0.2037E-01
    7.000  0.3000E+05  0.000   19.61      0.2270       713.0      21.926   38.7275   0.8397   0.1926   0.03509  0.6352E-01  0.1158E-01  43.7636   0.1617   849.1       137.3       0.9899  0.1946E-01
    9.000  0.3000E+05  0.000   19.00      0.2243       704.7      21.889   38.2847   0.8409   0.2426   0.04511  0.6153E-01  0.1144E-01  41.2958   0.2040   838.0       171.0       0.9547  0.1858E-01
   11.000  0.3000E+05  0.000   18.34      0.2211       694.6      21.845   37.7431   0.8424   0.2905   0.05514  0.5940E-01  0.1128E-01  38.8485   0.2447   824.5       201.8       0.9173  0.1796E-01
   13.000  0.3000E+05  0.000   17.65      0.2174       682.9      21.794   37.1202   0.8441   0.3360   0.06517  0.5715E-01  0.1109E-01  36.4324   0.2836   809.0       229.4       0.8783  0.1771E-01
   15.000  0.3000E+05  0.000   16.94      0.2132       669.8      21.737   36.4226   0.8460   0.3793   0.07519  0.5485E-01  0.1087E-01  34.0683   0.3209   791.7       254.0       0.8385  0.1748E-01
   17.000  0.3000E+05  0.000   16.20      0.2086       655.2      21.673   35.6456   0.8481   0.4204   0.08522  0.5247E-01  0.1064E-01  31.7567   0.3565   772.5       275.4       0.7980  0.1728E-01
   19.000  0.3000E+05  0.000   15.45      0.2034       639.1      21.602   34.7848   0.8505   0.4593   0.09524  0.5003E-01  0.1037E-01  29.4985   0.3906   751.4       293.5       0.7568  0.1711E-01
   21.000  0.3000E+05  0.000   14.67      0.1978       621.3      21.525   33.8354   0.8531   0.4960   0.10527  0.4752E-01  0.1009E-01  27.2939   0.4231   728.3       308.2       0.7149  0.1696E-01

    1.000  0.3050E+05  0.000   21.97      0.2398       765.9      22.415   40.8786   0.8359   0.0287   0.00493  0.6885E-01  0.1183E-01  52.2271   0.0240   916.3       21.97       1.0851  0.2297E-01
    3.000  0.3050E+05  0.000   21.48      0.2389       762.9      22.402   40.7211   0.8363   0.0845   0.01479  0.6729E-01  0.1179E-01  49.6969   0.0706   912.2       64.43       1.0570  0.2160E-01
