
# QPROP Version 1.22
# 
# APC 5x4E X-Prop                                                                 
# 
# T-motor F40                                                                     
#   0.82000E-01  Rmotor (Ohms)                  
#   0.70000      Io     (Amps)                  
#    1600.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
   13.000  0.3250E+05  0.000   21.34      0.2600       884.8      23.942   44.2603   0.8350   0.3136   0.06015  0.5889E-01  0.1130E-01  41.0329   0.2618   1060.       277.4       0.9073  0.1690E-01
   15.000  0.3250E+05  0.000   20.57      0.2556       870.0      23.882   43.5310   0.8369   0.3547   0.06941  0.5677E-01  0.1111E-01  38.6342   0.2969   1040.       308.6       0.8706  0.1669E-01
   17.000  0.3250E+05  0.000   19.79      0.2508       853.6      23.816   42.7241   0.8389   0.3940   0.07866  0.5460E-01  0.1090E-01  36.2833   0.3306   1018.       336.4       0.8333  0.1649E-01
   19.000  0.3250E+05  0.000   18.98      0.2455       835.6      23.743   41.8355   0.8412   0.4315   0.08792  0.5237E-01  0.1067E-01  33.9807   0.3630   993.3       360.6       0.7953  0.1632E-01
   21.000  0.3250E+05  0.000   18.15      0.2397       815.8      23.663   40.8608   0.8437   0.4672   0.09717  0.5008E-01  0.1042E-01  31.7270   0.3942   966.9       381.1       0.7567  0.1616E-01

    1.000  0.3300E+05  0.000   26.01      0.2843       982.4      24.588   48.3296   0.8267   0.0265   0.00456  0.6960E-01  0.1198E-01  56.9027   0.0219   1188.       26.01       1.0977  0.2243E-01
    3.000  0.3300E+05  0.000   25.47      0.2830       977.9      24.570   48.1151   0.8272   0.0781   0.01367  0.6817E-01  0.1193E-01  54.3744   0.0646   1182.       76.41       1.0717  0.2078E-01
    5.000  0.3300E+05  0.000   24.89      0.2812       971.9      24.546   47.8230   0.8279   0.1280   0.02279  0.6662E-01  0.1185E-01  51.8586   0.1060   1174.       124.4       1.0436  0.1942E-01
    7.000  0.3300E+05  0.000   24.26      0.2791       964.5      24.517   47.4630   0.8288   0.1761   0.03190  0.6493E-01  0.1176E-01  49.3532   0.1459   1164.       169.8       1.0136  0.1854E-01
    9.000  0.3300E+05  0.000   23.59      0.2764       955.2      24.480   47.0115   0.8300   0.2223   0.04101  0.6314E-01  0.1165E-01  46.8697   0.1845   1151.       212.3       0.9818  0.1783E-01
   11.000  0.3300E+05  0.000   22.88      0.2730       943.6      24.434   46.4488   0.8314   0.2668   0.05013  0.6124E-01  0.1151E-01  44.4090   0.2218   1135.       251.7       0.9483  0.1713E-01
   13.000  0.3300E+05  0.000   22.13      0.2691       929.9      24.379   45.7862   0.8331   0.3094   0.05924  0.5923E-01  0.1134E-01  41.9641   0.2577   1116.       287.7       0.9130  0.1676E-01
   15.000  0.3300E+05  0.000   21.35      0.2647       914.7      24.319   45.0498   0.8349   0.3501   0.06836  0.5714E-01  0.1116E-01  39.5591   0.2923   1096.       320.3       0.8768  0.1654E-01
   17.000  0.3300E+05  0.000   20.55      0.2598       897.9      24.252   44.2362   0.8370   0.3891   0.07747  0.5501E-01  0.1095E-01  37.2009   0.3257   1073.       349.4       0.8400  0.1635E-01
   19.000  0.3300E+05  0.000   19.73      0.2545       879.5      24.179   43.3411   0.8392   0.4263   0.08658  0.5281E-01  0.1073E-01  34.8901   0.3578   1048.       374.9       0.8026  0.1617E-01
   21.000  0.3300E+05  0.000   18.89      0.2486       859.2      24.099   42.3604   0.8417   0.4617   0.09570  0.5056E-01  0.1048E-01  32.6273   0.3886   1021.       396.7       0.7646  0.1602E-01

    1.000  0.3350E+05  0.000   26.86      0.2937       1030.      25.030   49.9122   0.8248   0.0261   0.00449  0.6977E-01  0.1201E-01  57.8479   0.0215   1249.       26.86       1.1003  0.2227E-01
    3.000  0.3350E+05  0.000   26.32      0.2924       1026.      25.013   49.6954   0.8253   0.0770   0.01347  0.6836E-01  0.1196E-01  55.3201   0.0635   1243.       78.96       1.0747  0.2063E-01
    5.000  0.3350E+05  0.000   25.73      0.2908       1020.      24.990   49.4256   0.8260   0.1261   0.02245  0.6682E-01  0.1189E-01  52.7998   0.1041   1235.       128.6       1.0471  0.1954E-01
    7.000  0.3350E+05  0.000   25.09      0.2885       1012.      24.958   49.0362   0.8269   0.1736   0.03142  0.6517E-01  0.1180E-01  50.2970   0.1435   1224.       175.6       1.0175  0.1840E-01
    9.000  0.3350E+05  0.000   24.41      0.2858       1002.      24.921   48.5799   0.8280   0.2192   0.04040  0.6341E-01  0.1169E-01  47.8109   0.1815   1211.       219.7       0.9863  0.1769E-01
   11.000  0.3350E+05  0.000   23.70      0.2824       990.6      24.875   48.0143   0.8294   0.2631   0.04938  0.6155E-01  0.1155E-01  45.3483   0.2183   1194.       260.7       0.9534  0.1699E-01
   13.000  0.3350E+05  0.000   22.93      0.2784       976.7      24.820   47.3464   0.8311   0.3053   0.05836  0.5956E-01  0.1139E-01  42.8994   0.2537   1175.       298.1       0.9186  0.1661E-01
   15.000  0.3350E+05  0.000   22.14      0.2740       961.1      24.759   46.6027   0.8330   0.3456   0.06734  0.5751E-01  0.1121E-01  40.4880   0.2879   1154.       332.2       0.8829  0.1640E-01
   17.000  0.3350E+05  0.000   21.33      0.2691       943.9      24.692   45.7820   0.8350   0.3842   0.07631  0.5541E-01  0.1100E-01  38.1227   0.3208   1130.       362.7       0.8467  0.1620E-01
   19.000  0.3350E+05  0.000   20.50      0.2637       925.0      24.618   44.8803   0.8372   0.4211   0.08529  0.5325E-01  0.1078E-01  35.8039   0.3526   1105.       389.6       0.8098  0.1603E-01
   21.000  0.3350E+05  0.000   19.65      0.2578       904.4      24.537   43.8933   0.8397   0.4563   0.09427  0.5104E-01  0.1054E-01  33.5322   0.3832   1077.       412.7       0.7724  0.1588E-01

    1.000  0.3400E+05  0.000   27.74      0.3034       1080.      25.475   51.5304   0.8228   0.0257   0.00442  0.6993E-01  0.1205E-01  58.7966   0.0211   1313.       27.74       1.1030  0.2211E-01
    3.000  0.3400E+05  0.000   27.19      0.3021       1075.      25.458   51.3113   0.8233   0.0758   0.01327  0.6855E-01  0.1199E-01  56.2694   0.0624   1306.       81.56       1.0779  0.2049E-01
    5.000  0.3400E+05  0.000   26.58      0.3004       1070.      25.435   51.0372   0.8240   0.1243   0.02212  0.6703E-01  0.1193E-01  53.7478   0.1024   1298.       132.9       1.0506  0.1940E-01
    7.000  0.3400E+05  0.000   25.94      0.2981       1061.      25.403   50.6449   0.8250   0.1711   0.03096  0.6541E-01  0.1184E-01  51.2445   0.1411   1287.       181.6       1.0215  0.1826E-01
    9.000  0.3400E+05  0.000   25.25      0.2953       1052.      25.365   50.1836   0.8261   0.2161   0.03981  0.6367E-01  0.1173E-01  48.7560   0.1786   1273.       227.3       0.9907  0.1756E-01
   11.000  0.3400E+05  0.000   24.53      0.2920       1040.      25.319   49.6248   0.8274   0.2595   0.04865  0.6184E-01  0.1159E-01  46.2887   0.2147   1256.       269.8       0.9584  0.1700E-01
   13.000  0.3400E+05  0.000   23.76      0.2879       1025.      25.263   48.9417   0.8291   0.3012   0.05750  0.5989E-01  0.1143E-01  43.8386   0.2498   1236.       308.8       0.9242  0.1647E-01
   15.000  0.3400E+05  0.000   22.95      0.2834       1009.      25.202   48.1904   0.8310   0.3412   0.06635  0.5787E-01  0.1125E-01  41.4211   0.2835   1214.       344.3       0.8890  0.1626E-01
   17.000  0.3400E+05  0.000   22.13      0.2785       991.6      25.134   47.3624   0.8330   0.3794   0.07519  0.5580E-01  0.1106E-01  39.0488   0.3161   1190.       376.2       0.8533  0.1607E-01
   19.000  0.3400E+05  0.000   21.29      0.2731       972.3      25.059   46.4537   0.8352   0.4161   0.08404  0.5368E-01  0.1084E-01  36.7223   0.3475   1164.       404.5       0.8170  0.1589E-01
   21.000  0.3400E+05  0.000   20.43      0.2671       951.2      24.978   45.4601   0.8377   0.4510   0.09288  0.5151E-01  0.1061E-01  34.4419   0.3778   1135.       429.0       0.7801  0.1574E-01

    1.000  0.3450E+05  0.000   28.63      0.3132       1132.      25.924   53.1850   0.8208   0.0253   0.00436  0.7010E-01  0.1208E-01  59.7491   0.0208   1379.       28.63       1.1058  0.2196E-01
    3.000  0.3450E+05  0.000   28.07      0.3119       1127.      25.906   52.9638   0.8214   0.0747   0.01308  0.6874E-01  0.1203E-01  57.2225   0.0614   1372.       84.21       1.0811  0.2034E-01
    5.000  0.3450E+05  0.000   27.46      0.3103       1121.      25.883   52.6852   0.8220   0.1225   0.02179  0.6724E-01  0.1196E-01  54.6998   0.1007   1364.       137.3       1.0542  0.1927E-01
    7.000  0.3450E+05  0.000   26.81      0.3079       1112.      25.850   52.2900   0.8230   0.1687   0.03051  0.6565E-01  0.1187E-01  52.1960   0.1388   1352.       187.7       1.0256  0.1813E-01
    9.000  0.3450E+05  0.000   26.11      0.3051       1102.      25.812   51.8236   0.8241   0.2132   0.03923  0.6394E-01  0.1177E-01  49.7050   0.1757   1338.       235.0       0.9952  0.1743E-01
   11.000  0.3450E+05  0.000   25.37      0.3018       1090.      25.766   51.2595   0.8254   0.2560   0.04795  0.6214E-01  0.1164E-01  47.2346   0.2113   1321.       279.1       0.9633  0.1687E-01
   13.000  0.3450E+05  0.000   24.59      0.2977       1075.      25.709   50.5729   0.8271   0.2973   0.05667  0.6023E-01  0.1148E-01  44.7820   0.2459   1300.       319.7       0.9297  0.1634E-01
   15.000  0.3450E+05  0.000   23.78      0.2931       1059.      25.647   49.8138   0.8289   0.3368   0.06538  0.5824E-01  0.1130E-01  42.3585   0.2792   1278.       356.7       0.8950  0.1613E-01
   17.000  0.3450E+05  0.000   22.95      0.2881       1041.      25.579   48.9782   0.8309   0.3748   0.07410  0.5620E-01  0.1111E-01  39.9794   0.3114   1253.       390.1       0.8598  0.1593E-01
   19.000  0.3450E+05  0.000   22.10      0.2827       1021.      25.504   48.0622   0.8332   0.4111   0.08282  0.5411E-01  0.1090E-01  37.6452   0.3425   1226.       419.8       0.8240  0.1576E-01
   21.000  0.3450E+05  0.000   21.22      0.2767       999.7      25.422   47.0617   0.8356   0.4458   0.09154  0.5197E-01  0.1067E-01  35.3563   0.3725   1196.       445.6       0.7877  0.1561E-01

    1.000  0.3500E+05  0.000   29.53      0.3233       1185.      26.375   54.8770   0.8188   0.0249   0.00430  0.7027E-01  0.1212E-01  60.7055   0.0204   1447.       29.53       1.1087  0.2181E-01
    3.000  0.3500E+05  0.000   28.97      0.3220       1180.      26.357   54.6538   0.8193   0.0736   0.01289  0.6893E-01  0.1207E-01  58.1796   0.0603   1440.       86.91       1.0843  0.2021E-01
    5.000  0.3500E+05  0.000   28.35      0.3203       1174.      26.333   54.3706   0.8200   0.1207   0.02148  0.6746E-01  0.1200E-01  55.6556   0.0990   1432.       141.8       1.0578  0.1914E-01
    7.000  0.3500E+05  0.000   27.69      0.3181       1166.      26.303   53.9949   0.8209   0.1663   0.03008  0.6588E-01  0.1192E-01  53.1475   0.1365   1420.       193.8       1.0296  0.1824E-01
    9.000  0.3500E+05  0.000   26.99      0.3151       1155.      26.262   53.5008   0.8221   0.2103   0.03867  0.6421E-01  0.1181E-01  50.6581   0.1729   1405.       242.9       0.9997  0.1730E-01
   11.000  0.3500E+05  0.000   26.24      0.3117       1143.      26.215   52.9311   0.8234   0.2526   0.04726  0.6243E-01  0.1168E-01  48.1847   0.2080   1388.       288.6       0.9683  0.1674E-01
   13.000  0.3500E+05  0.000   25.45      0.3076       1127.      26.159   52.2410   0.8250   0.2935   0.05586  0.6056E-01  0.1153E-01  45.7297   0.2421   1367.       330.9       0.9353  0.1620E-01
   15.000  0.3500E+05  0.000   24.63      0.3030       1111.      26.096   51.4738   0.8269   0.3326   0.06445  0.5859E-01  0.1135E-01  43.3003   0.2750   1343.       369.4       0.9010  0.1600E-01
   17.000  0.3500E+05  0.000   23.78      0.2980       1092.      26.027   50.6303   0.8289   0.3702   0.07304  0.5659E-01  0.1117E-01  40.9145   0.3068   1318.       404.3       0.8663  0.1581E-01
   19.000  0.3500E+05  0.000   22.92      0.2925       1072.      25.951   49.7066   0.8311   0.4062   0.08164  0.5453E-01  0.1096E-01  38.5728   0.3376   1290.       435.4       0.8310  0.1563E-01
   21.000  0.3500E+05  0.000   22.03      0.2865       1050.      25.868   48.6989   0.8335   0.4406   0.09023  0.5242E-01  0.1073E-01  36.2757   0.3673   1260.       462.7       0.7951  0.1548E-01

